ent_station,ext_station,ent_time_period,riders_average_sunday
Union Station,Ballston,Evening,68.75
Union Station,Benning Road,Evening,4.5
Union Station,Bethesda,Evening,90.75
Union Station,Braddock Road,Evening,17.5
Union Station,Branch Avenue,Evening,20.0
Union Station,Brookland,Evening,50.75
Union Station,Capitol Heights,Evening,2.0
Union Station,Capitol South,Evening,2.5
Union Station,Cheverly,Evening,3.5
Union Station,Clarendon,Evening,17.0
Union Station,Cleveland Park,Evening,51.5
Union Station,College Park-U of MD,Evening,11.25
Union Station,Columbia Heights,Evening,107.0
Union Station,Congress Heights,Evening,3.25
Union Station,Court House,Evening,33.75
Union Station,Crystal City,Evening,55.25
Union Station,Deanwood,Evening,1.5
Union Station,Dunn Loring,Evening,26.0
Union Station,Dupont Circle,Evening,299.75
Union Station,East Falls Church,Evening,35.25
Union Station,Eastern Market,Evening,8.5
Union Station,Eisenhower Avenue,Evening,8.0
Union Station,Farragut North,Evening,95.25
Union Station,Farragut West,Evening,3.75
Union Station,Federal Center SW,Evening,0.5
Union Station,Federal Triangle,Evening,2.75
Union Station,Foggy Bottom,Evening,79.25
Union Station,Forest Glen,Evening,28.5
Union Station,Fort Totten,Evening,119.75
Union Station,Franconia-Springfield,Evening,44.5
Union Station,Friendship Heights,Evening,57.75
Union Station,Gallery Place-Chinatown,Evening,107.5
Union Station,Georgia Avenue-Petworth,Evening,44.75
Union Station,Glenmont,Evening,52.0
Union Station,Greenbelt,Evening,15.25
Union Station,Grosvenor,Evening,41.75
Union Station,Huntington,Evening,33.75
Union Station,Judiciary Square,Evening,11.25
Union Station,King Street,Evening,39.0
Union Station,Landover,Evening,4.5
Union Station,Largo Town Center,Evening,10.25
Union Station,L'Enfant Plaza,Evening,18.25
Union Station,McPherson Square,Evening,25.5
Union Station,Medical Center,Evening,9.75
Union Station,Metro Center,Evening,70.0
Union Station,Minnesota Avenue,Evening,3.25
Union Station,Morgan Blvd.,Evening,4.0
Union Station,Mt. Vernon Square-UDC,Evening,18.25
Union Station,Navy Yard,Evening,26.75
Union Station,Naylor Road,Evening,6.5
Union Station,New Carrollton,Evening,25.5
Union Station,New York Ave,Evening,53.5
Union Station,Pentagon,Evening,19.75
Union Station,Pentagon City,Evening,71.75
Union Station,Potomac Avenue,Evening,11.5
Union Station,Prince George's Plaza,Evening,13.25
Union Station,Reagan Washington National Airport,Evening,12.75
Union Station,Rhode Island Avenue,Evening,28.0
Union Station,Rockville,Evening,24.75
Union Station,Rosslyn,Evening,56.75
Union Station,Shady Grove,Evening,89.25
Union Station,Shaw-Howard University,Evening,16.0
Union Station,Silver Spring,Evening,152.25
Union Station,Smithsonian,Evening,10.25
Union Station,Southern Avenue,Evening,11.5
Union Station,Stadium-Armory,Evening,1.5
Union Station,Suitland,Evening,15.75
Union Station,Takoma,Evening,50.75
Union Station,Tenleytown-AU,Evening,57.75
Union Station,Twinbrook,Evening,20.5
Union Station,U Street-Cardozo,Evening,47.0
Union Station,Union Station,Evening,55.75
Union Station,Van Dorn Street,Evening,23.0
Union Station,Van Ness-UDC,Evening,68.5
Union Station,Vienna,Evening,68.5
Union Station,Virginia Square-GMU,Evening,17.75
Union Station,Waterfront,Evening,19.5
Union Station,West Falls Church,Evening,34.0
Union Station,West Hyattsville,Evening,11.25
Union Station,Wheaton,Evening,32.25
Union Station,White Flint,Evening,17.75
Union Station,Woodley Park-Zoo,Evening,116.5
Van Dorn Street,Addison Road,Evening,1.25
Van Dorn Street,Anacostia,Evening,2.5
Van Dorn Street,Archives-Navy Memorial,Evening,1.0
Van Dorn Street,Ballston,Evening,0.5
Van Dorn Street,Benning Road,Evening,1.5
Van Dorn Street,Bethesda,Evening,0.25
Van Dorn Street,Braddock Road,Evening,2.25
Van Dorn Street,Branch Avenue,Evening,1.0
Van Dorn Street,Brookland,Evening,0.25
Van Dorn Street,Capitol Heights,Evening,0.25
Van Dorn Street,Cheverly,Evening,0.25
Van Dorn Street,Clarendon,Evening,0.75
Van Dorn Street,Cleveland Park,Evening,0.25
Van Dorn Street,Columbia Heights,Evening,1.25
Van Dorn Street,Congress Heights,Evening,1.5
Van Dorn Street,Court House,Evening,1.5
Van Dorn Street,Crystal City,Evening,3.5
Van Dorn Street,Deanwood,Evening,0.75
Van Dorn Street,Dunn Loring,Evening,0.25
Van Dorn Street,Dupont Circle,Evening,1.0
Van Dorn Street,East Falls Church,Evening,0.75
Van Dorn Street,Eastern Market,Evening,0.25
Van Dorn Street,Eisenhower Avenue,Evening,1.0
Van Dorn Street,Farragut West,Evening,4.0
Van Dorn Street,Federal Center SW,Evening,0.75
Van Dorn Street,Federal Triangle,Evening,0.75
Van Dorn Street,Foggy Bottom,Evening,3.5
Van Dorn Street,Fort Totten,Evening,1.5
Van Dorn Street,Franconia-Springfield,Evening,8.0
Van Dorn Street,Friendship Heights,Evening,0.25
Van Dorn Street,Gallery Place-Chinatown,Evening,3.0
Van Dorn Street,Georgia Avenue-Petworth,Evening,0.75
Van Dorn Street,Glenmont,Evening,0.25
Van Dorn Street,Greenbelt,Evening,0.5
Van Dorn Street,Huntington,Evening,4.75
Van Dorn Street,Judiciary Square,Evening,1.5
Van Dorn Street,King Street,Evening,7.25
Van Dorn Street,Landover,Evening,0.25
Van Dorn Street,Largo Town Center,Evening,1.25
Van Dorn Street,L'Enfant Plaza,Evening,1.25
Van Dorn Street,McPherson Square,Evening,3.0
Van Dorn Street,Medical Center,Evening,0.25
Van Dorn Street,Metro Center,Evening,2.75
Van Dorn Street,Minnesota Avenue,Evening,1.25
Van Dorn Street,Mt. Vernon Square-UDC,Evening,1.0
Van Dorn Street,Navy Yard,Evening,3.25
Van Dorn Street,Naylor Road,Evening,1.25
Van Dorn Street,New Carrollton,Evening,0.75
Van Dorn Street,New York Ave,Evening,0.5
Van Dorn Street,Pentagon,Evening,0.75
Van Dorn Street,Pentagon City,Evening,3.0
Van Dorn Street,Potomac Avenue,Evening,1.0
Van Dorn Street,Prince George's Plaza,Evening,0.75
Van Dorn Street,Reagan Washington National Airport,Evening,4.25
Van Dorn Street,Rockville,Evening,0.25
Van Dorn Street,Rosslyn,Evening,4.0
Van Dorn Street,Shady Grove,Evening,1.5
Van Dorn Street,Shaw-Howard University,Evening,1.0
Van Dorn Street,Silver Spring,Evening,2.5
Van Dorn Street,Smithsonian,Evening,2.0
Van Dorn Street,Southern Avenue,Evening,1.25
Van Dorn Street,Suitland,Evening,1.5
Van Dorn Street,Tenleytown-AU,Evening,0.5
Van Dorn Street,U Street-Cardozo,Evening,1.75
Van Dorn Street,Union Station,Evening,3.0
Van Dorn Street,Van Dorn Street,Evening,4.75
Van Dorn Street,Van Ness-UDC,Evening,2.0
Van Dorn Street,Vienna,Evening,0.5
Van Dorn Street,Virginia Square-GMU,Evening,1.0
Van Dorn Street,Waterfront,Evening,0.25
Van Dorn Street,West Falls Church,Evening,1.5
Van Dorn Street,West Hyattsville,Evening,0.75
Van Dorn Street,White Flint,Evening,0.25
Van Dorn Street,Woodley Park-Zoo,Evening,0.75
Van Ness-UDC,Addison Road,Evening,1.75
Van Ness-UDC,Anacostia,Evening,6.0
Van Ness-UDC,Ballston,Evening,1.25
Van Ness-UDC,Benning Road,Evening,2.5
Van Ness-UDC,Bethesda,Evening,11.25
Van Ness-UDC,Braddock Road,Evening,1.5
Van Ness-UDC,Branch Avenue,Evening,0.75
Van Ness-UDC,Brookland,Evening,3.75
Van Ness-UDC,Capitol Heights,Evening,1.25
Van Ness-UDC,Capitol South,Evening,2.25
Van Ness-UDC,Cheverly,Evening,0.25
Van Ness-UDC,Clarendon,Evening,1.0
Van Ness-UDC,Cleveland Park,Evening,2.5
Van Ness-UDC,College Park-U of MD,Evening,2.75
Van Ness-UDC,Columbia Heights,Evening,2.0
Van Ness-UDC,Congress Heights,Evening,1.0
Van Ness-UDC,Court House,Evening,1.75
Van Ness-UDC,Crystal City,Evening,1.25
Van Ness-UDC,Deanwood,Evening,2.0
Van Ness-UDC,Dunn Loring,Evening,1.25
Van Ness-UDC,Dupont Circle,Evening,35.25
Van Ness-UDC,East Falls Church,Evening,2.0
Van Ness-UDC,Eastern Market,Evening,2.25
Van Ness-UDC,Eisenhower Avenue,Evening,0.5
Van Ness-UDC,Farragut North,Evening,8.75
Van Ness-UDC,Federal Center SW,Evening,0.5
Van Ness-UDC,Foggy Bottom,Evening,1.75
Van Ness-UDC,Forest Glen,Evening,0.75
Van Ness-UDC,Fort Totten,Evening,7.0
Van Ness-UDC,Franconia-Springfield,Evening,0.75
Van Ness-UDC,Friendship Heights,Evening,7.0
Van Ness-UDC,Gallery Place-Chinatown,Evening,22.0
Van Ness-UDC,Georgia Avenue-Petworth,Evening,1.0
Van Ness-UDC,Glenmont,Evening,1.0
Van Ness-UDC,Greenbelt,Evening,0.25
Van Ness-UDC,Grosvenor,Evening,4.0
Van Ness-UDC,Huntington,Evening,1.5
Van Ness-UDC,Judiciary Square,Evening,4.5
Van Ness-UDC,Landover,Evening,2.25
Van Ness-UDC,Largo Town Center,Evening,2.25
Van Ness-UDC,L'Enfant Plaza,Evening,2.5
Van Ness-UDC,McPherson Square,Evening,0.25
Van Ness-UDC,Medical Center,Evening,0.75
Van Ness-UDC,Metro Center,Evening,8.75
Van Ness-UDC,Minnesota Avenue,Evening,1.5
Van Ness-UDC,Morgan Blvd.,Evening,0.75
Van Ness-UDC,Mt. Vernon Square-UDC,Evening,3.5
Van Ness-UDC,Navy Yard,Evening,6.5
Van Ness-UDC,Naylor Road,Evening,0.5
Van Ness-UDC,New Carrollton,Evening,2.25
Van Ness-UDC,New York Ave,Evening,3.0
Van Ness-UDC,Pentagon,Evening,1.0
Van Ness-UDC,Pentagon City,Evening,2.25
Van Ness-UDC,Potomac Avenue,Evening,1.0
Van Ness-UDC,Prince George's Plaza,Evening,0.5
Van Ness-UDC,Reagan Washington National Airport,Evening,1.25
Van Ness-UDC,Rhode Island Avenue,Evening,2.75
Van Ness-UDC,Rockville,Evening,0.5
Van Ness-UDC,Rosslyn,Evening,3.5
Van Ness-UDC,Shady Grove,Evening,5.0
Van Ness-UDC,Shaw-Howard University,Evening,2.5
Van Ness-UDC,Silver Spring,Evening,3.5
Van Ness-UDC,Smithsonian,Evening,1.25
Van Ness-UDC,Southern Avenue,Evening,2.75
Van Ness-UDC,Stadium-Armory,Evening,1.25
Van Ness-UDC,Suitland,Evening,1.5
Van Ness-UDC,Takoma,Evening,4.25
Van Ness-UDC,Tenleytown-AU,Evening,6.75
Van Ness-UDC,Twinbrook,Evening,2.5
Van Ness-UDC,U Street-Cardozo,Evening,1.75
Van Ness-UDC,Union Station,Evening,16.0
Van Ness-UDC,Van Dorn Street,Evening,0.75
Van Ness-UDC,Van Ness-UDC,Evening,4.0
Van Ness-UDC,Vienna,Evening,0.5
Van Ness-UDC,Virginia Square-GMU,Evening,1.0
Van Ness-UDC,Waterfront,Evening,1.75
Van Ness-UDC,West Falls Church,Evening,0.5
Van Ness-UDC,West Hyattsville,Evening,1.5
Van Ness-UDC,Wheaton,Evening,1.25
Van Ness-UDC,White Flint,Evening,3.25
Van Ness-UDC,Woodley Park-Zoo,Evening,27.75
Vienna,Addison Road,Evening,0.25
Vienna,Anacostia,Evening,2.75
Vienna,Arlington Cemetery,Evening,0.5
Vienna,Ballston,Evening,15.75
Vienna,Benning Road,Evening,0.25
Vienna,Bethesda,Evening,2.5
Vienna,Braddock Road,Evening,2.5
Vienna,Branch Avenue,Evening,1.5
Vienna,Brookland,Evening,1.0
Vienna,Capitol Heights,Evening,0.5
Vienna,Capitol South,Evening,2.5
Vienna,Cheverly,Evening,0.5
Vienna,Clarendon,Evening,8.5
Vienna,Cleveland Park,Evening,1.0
Vienna,College Park-U of MD,Evening,0.25
Vienna,Columbia Heights,Evening,5.75
Vienna,Congress Heights,Evening,1.25
Vienna,Court House,Evening,4.0
Vienna,Crystal City,Evening,4.0
Vienna,Deanwood,Evening,0.5
Vienna,Dunn Loring,Evening,7.25
Vienna,Dupont Circle,Evening,5.5
Vienna,East Falls Church,Evening,6.0
Vienna,Eastern Market,Evening,3.25
Vienna,Eisenhower Avenue,Evening,0.25
Vienna,Farragut North,Evening,0.5
Vienna,Farragut West,Evening,9.5
Vienna,Federal Center SW,Evening,11.5
Vienna,Federal Triangle,Evening,0.75
Vienna,Foggy Bottom,Evening,17.25
Vienna,Forest Glen,Evening,0.25
Vienna,Fort Totten,Evening,4.25
Vienna,Franconia-Springfield,Evening,2.0
Vienna,Friendship Heights,Evening,2.0
Vienna,Gallery Place-Chinatown,Evening,5.0
Vienna,Georgia Avenue-Petworth,Evening,4.0
Vienna,Glenmont,Evening,2.0
Vienna,Greenbelt,Evening,1.5
Vienna,Grosvenor,Evening,0.75
Vienna,Huntington,Evening,3.25
Vienna,Judiciary Square,Evening,0.5
Vienna,King Street,Evening,2.0
Vienna,Landover,Evening,1.25
Vienna,Largo Town Center,Evening,1.5
Vienna,L'Enfant Plaza,Evening,2.5
Vienna,McPherson Square,Evening,15.75
Vienna,Metro Center,Evening,11.25
Vienna,Minnesota Avenue,Evening,1.25
Vienna,Morgan Blvd.,Evening,0.5
Vienna,Mt. Vernon Square-UDC,Evening,2.75
Vienna,Navy Yard,Evening,16.75
Vienna,Naylor Road,Evening,1.0
Vienna,New Carrollton,Evening,7.75
Vienna,New York Ave,Evening,2.5
Vienna,Pentagon,Evening,0.5
Vienna,Pentagon City,Evening,2.25
Vienna,Potomac Avenue,Evening,1.5
Vienna,Prince George's Plaza,Evening,0.25
Vienna,Reagan Washington National Airport,Evening,2.0
Vienna,Rhode Island Avenue,Evening,2.25
Vienna,Rockville,Evening,0.5
Vienna,Rosslyn,Evening,9.75
Vienna,Shady Grove,Evening,2.75
Vienna,Shaw-Howard University,Evening,2.25
Vienna,Silver Spring,Evening,4.75
Vienna,Smithsonian,Evening,7.75
Vienna,Southern Avenue,Evening,1.5
Vienna,Stadium-Armory,Evening,1.0
Vienna,Suitland,Evening,2.5
Vienna,Takoma,Evening,2.75
Vienna,Tenleytown-AU,Evening,2.25
Vienna,Twinbrook,Evening,0.75
Vienna,U Street-Cardozo,Evening,4.0
Vienna,Union Station,Evening,8.5
Vienna,Van Dorn Street,Evening,2.25
Vienna,Van Ness-UDC,Evening,1.0
Vienna,Vienna,Evening,12.5
Vienna,Virginia Square-GMU,Evening,1.25
Vienna,Waterfront,Evening,1.25
Vienna,West Falls Church,Evening,7.0
Vienna,Wheaton,Evening,2.25
Vienna,White Flint,Evening,0.5
Vienna,Woodley Park-Zoo,Evening,5.5
Virginia Square-GMU,Anacostia,Evening,2.75
Virginia Square-GMU,Ballston,Evening,1.0
Virginia Square-GMU,Benning Road,Evening,0.25
Virginia Square-GMU,Bethesda,Evening,0.75
Virginia Square-GMU,Branch Avenue,Evening,1.0
Virginia Square-GMU,Brookland,Evening,0.75
Virginia Square-GMU,Capitol Heights,Evening,0.25
Virginia Square-GMU,Capitol South,Evening,3.25
Virginia Square-GMU,Clarendon,Evening,4.0
Virginia Square-GMU,Columbia Heights,Evening,3.25
Virginia Square-GMU,Court House,Evening,8.0
Virginia Square-GMU,Crystal City,Evening,2.0
Virginia Square-GMU,Dunn Loring,Evening,1.5
Virginia Square-GMU,Dupont Circle,Evening,2.25
Virginia Square-GMU,East Falls Church,Evening,1.75
Virginia Square-GMU,Eastern Market,Evening,3.75
Virginia Square-GMU,Farragut West,Evening,3.75
Virginia Square-GMU,Federal Center SW,Evening,1.75
Virginia Square-GMU,Federal Triangle,Evening,0.25
Virginia Square-GMU,Foggy Bottom,Evening,9.5
Virginia Square-GMU,Fort Totten,Evening,1.25
Virginia Square-GMU,Franconia-Springfield,Evening,2.0
Virginia Square-GMU,Gallery Place-Chinatown,Evening,1.5
Virginia Square-GMU,Georgia Avenue-Petworth,Evening,2.0
Virginia Square-GMU,Glenmont,Evening,0.25
Virginia Square-GMU,Greenbelt,Evening,1.25
Virginia Square-GMU,Grosvenor,Evening,0.5
Virginia Square-GMU,Judiciary Square,Evening,0.75
Virginia Square-GMU,King Street,Evening,1.75
Virginia Square-GMU,Landover,Evening,0.75
Virginia Square-GMU,Largo Town Center,Evening,0.25
Virginia Square-GMU,L'Enfant Plaza,Evening,1.25
Virginia Square-GMU,McPherson Square,Evening,7.75
Virginia Square-GMU,Metro Center,Evening,2.25
Virginia Square-GMU,Minnesota Avenue,Evening,0.25
Virginia Square-GMU,Morgan Blvd.,Evening,0.25
Virginia Square-GMU,Mt. Vernon Square-UDC,Evening,0.25
Virginia Square-GMU,Navy Yard,Evening,4.5
Virginia Square-GMU,New Carrollton,Evening,2.25
Virginia Square-GMU,New York Ave,Evening,0.75
Virginia Square-GMU,Pentagon,Evening,0.75
Virginia Square-GMU,Pentagon City,Evening,0.75
Virginia Square-GMU,Reagan Washington National Airport,Evening,0.5
Virginia Square-GMU,Rhode Island Avenue,Evening,0.25
Virginia Square-GMU,Rosslyn,Evening,8.75
Virginia Square-GMU,Shady Grove,Evening,0.25
Virginia Square-GMU,Silver Spring,Evening,1.0
Virginia Square-GMU,Smithsonian,Evening,2.25
Virginia Square-GMU,Southern Avenue,Evening,0.75
Virginia Square-GMU,Stadium-Armory,Evening,0.25
Virginia Square-GMU,Takoma,Evening,0.75
Virginia Square-GMU,Tenleytown-AU,Evening,0.75
Virginia Square-GMU,Twinbrook,Evening,0.75
Virginia Square-GMU,U Street-Cardozo,Evening,0.25
Virginia Square-GMU,Union Station,Evening,3.5
Virginia Square-GMU,Van Dorn Street,Evening,0.75
Virginia Square-GMU,Van Ness-UDC,Evening,0.25
Virginia Square-GMU,Vienna,Evening,4.0
Virginia Square-GMU,Virginia Square-GMU,Evening,2.25
Virginia Square-GMU,West Falls Church,Evening,1.0
Virginia Square-GMU,West Hyattsville,Evening,1.0
Virginia Square-GMU,Wheaton,Evening,0.25
Virginia Square-GMU,White Flint,Evening,0.75
Waterfront,Addison Road,Evening,2.0
Waterfront,Anacostia,Evening,48.25
Waterfront,Archives-Navy Memorial,Evening,11.0
Waterfront,Ballston,Evening,2.25
Waterfront,Benning Road,Evening,5.25
Waterfront,Bethesda,Evening,3.25
Waterfront,Braddock Road,Evening,0.75
Waterfront,Branch Avenue,Evening,3.5
Waterfront,Brookland,Evening,7.0
Waterfront,Capitol Heights,Evening,5.25
Waterfront,Capitol South,Evening,0.75
Waterfront,Cheverly,Evening,1.0
Waterfront,Clarendon,Evening,1.75
Waterfront,Cleveland Park,Evening,2.75
Waterfront,College Park-U of MD,Evening,1.25
Waterfront,Columbia Heights,Evening,34.75
Waterfront,Congress Heights,Evening,12.25
Waterfront,Court House,Evening,0.75
Waterfront,Crystal City,Evening,7.0
Waterfront,Deanwood,Evening,1.5
Waterfront,Dunn Loring,Evening,0.75
Waterfront,Dupont Circle,Evening,8.0
Waterfront,East Falls Church,Evening,2.0
Waterfront,Eastern Market,Evening,2.25
Waterfront,Eisenhower Avenue,Evening,7.5
Waterfront,Farragut North,Evening,2.75
Waterfront,Farragut West,Evening,1.0
Waterfront,Federal Center SW,Evening,0.25
Waterfront,Federal Triangle,Evening,0.25
Waterfront,Foggy Bottom,Evening,7.5
Waterfront,Forest Glen,Evening,0.5
Waterfront,Fort Totten,Evening,20.25
Waterfront,Franconia-Springfield,Evening,2.75
Waterfront,Friendship Heights,Evening,1.5
Waterfront,Gallery Place-Chinatown,Evening,32.0
Waterfront,Georgia Avenue-Petworth,Evening,12.0
Waterfront,Glenmont,Evening,2.0
Waterfront,Greenbelt,Evening,5.75
Waterfront,Grosvenor,Evening,3.0
Waterfront,Huntington,Evening,6.0
Waterfront,Judiciary Square,Evening,0.25
Waterfront,King Street,Evening,1.5
Waterfront,Landover,Evening,0.75
Waterfront,Largo Town Center,Evening,0.75
Waterfront,L'Enfant Plaza,Evening,9.0
Waterfront,McPherson Square,Evening,2.0
Waterfront,Medical Center,Evening,0.75
Waterfront,Metro Center,Evening,1.0
Waterfront,Minnesota Avenue,Evening,5.0
Waterfront,Morgan Blvd.,Evening,0.5
Waterfront,Mt. Vernon Square-UDC,Evening,9.75
Waterfront,Navy Yard,Evening,18.0
Waterfront,Naylor Road,Evening,7.0
Waterfront,New Carrollton,Evening,3.0
Waterfront,New York Ave,Evening,2.25
Waterfront,Pentagon,Evening,3.25
Waterfront,Pentagon City,Evening,10.0
Waterfront,Potomac Avenue,Evening,1.25
Waterfront,Prince George's Plaza,Evening,1.75
Waterfront,Reagan Washington National Airport,Evening,1.0
Waterfront,Rhode Island Avenue,Evening,5.0
Waterfront,Rockville,Evening,0.75
Waterfront,Rosslyn,Evening,4.5
Waterfront,Shady Grove,Evening,3.0
Waterfront,Shaw-Howard University,Evening,9.75
Waterfront,Silver Spring,Evening,5.5
Waterfront,Smithsonian,Evening,1.25
Waterfront,Southern Avenue,Evening,9.0
Waterfront,Stadium-Armory,Evening,2.25
Waterfront,Suitland,Evening,9.25
Waterfront,Takoma,Evening,3.25
Waterfront,Tenleytown-AU,Evening,2.25
Waterfront,Twinbrook,Evening,1.75
Waterfront,U Street-Cardozo,Evening,26.5
Waterfront,Union Station,Evening,4.5
Waterfront,Van Dorn Street,Evening,1.0
Waterfront,Van Ness-UDC,Evening,0.75
Waterfront,Vienna,Evening,3.25
Waterfront,Virginia Square-GMU,Evening,1.5
Waterfront,Waterfront,Evening,8.75
Waterfront,West Falls Church,Evening,0.75
Waterfront,West Hyattsville,Evening,4.5
Waterfront,Wheaton,Evening,1.5
Waterfront,White Flint,Evening,2.75
Waterfront,Woodley Park-Zoo,Evening,2.5
West Falls Church,Addison Road,Evening,2.25
West Falls Church,Anacostia,Evening,1.5
West Falls Church,Archives-Navy Memorial,Evening,0.25
West Falls Church,Ballston,Evening,17.75
West Falls Church,Benning Road,Evening,1.25
West Falls Church,Bethesda,Evening,0.75
West Falls Church,Braddock Road,Evening,2.25
West Falls Church,Branch Avenue,Evening,0.75
West Falls Church,Brookland,Evening,0.75
West Falls Church,Capitol South,Evening,2.25
West Falls Church,Cheverly,Evening,1.25
West Falls Church,Clarendon,Evening,5.5
West Falls Church,Cleveland Park,Evening,1.0
West Falls Church,College Park-U of MD,Evening,1.0
West Falls Church,Columbia Heights,Evening,3.75
West Falls Church,Congress Heights,Evening,0.5
West Falls Church,Court House,Evening,4.5
West Falls Church,Crystal City,Evening,5.25
West Falls Church,Deanwood,Evening,0.5
West Falls Church,Dunn Loring,Evening,12.75
West Falls Church,Dupont Circle,Evening,3.5
West Falls Church,East Falls Church,Evening,4.0
West Falls Church,Eastern Market,Evening,2.5
West Falls Church,Farragut North,Evening,0.5
West Falls Church,Farragut West,Evening,10.25
West Falls Church,Federal Center SW,Evening,2.5
West Falls Church,Foggy Bottom,Evening,16.0
West Falls Church,Fort Totten,Evening,7.25
West Falls Church,Franconia-Springfield,Evening,2.5
West Falls Church,Friendship Heights,Evening,1.25
West Falls Church,Gallery Place-Chinatown,Evening,4.75
West Falls Church,Georgia Avenue-Petworth,Evening,3.0
West Falls Church,Glenmont,Evening,3.0
West Falls Church,Greenbelt,Evening,0.75
West Falls Church,Grosvenor,Evening,0.25
West Falls Church,Huntington,Evening,2.25
West Falls Church,Judiciary Square,Evening,1.25
West Falls Church,King Street,Evening,2.5
West Falls Church,Landover,Evening,1.5
West Falls Church,Largo Town Center,Evening,1.0
West Falls Church,L'Enfant Plaza,Evening,0.75
West Falls Church,McPherson Square,Evening,10.5
West Falls Church,Medical Center,Evening,1.25
West Falls Church,Metro Center,Evening,7.0
West Falls Church,Minnesota Avenue,Evening,2.5
West Falls Church,Morgan Blvd.,Evening,0.25
West Falls Church,Mt. Vernon Square-UDC,Evening,2.25
West Falls Church,Navy Yard,Evening,5.0
West Falls Church,Naylor Road,Evening,1.75
West Falls Church,New Carrollton,Evening,3.5
West Falls Church,New York Ave,Evening,3.0
West Falls Church,Pentagon,Evening,1.75
West Falls Church,Pentagon City,Evening,3.5
West Falls Church,Potomac Avenue,Evening,2.0
West Falls Church,Prince George's Plaza,Evening,1.0
West Falls Church,Reagan Washington National Airport,Evening,1.5
West Falls Church,Rhode Island Avenue,Evening,1.75
West Falls Church,Rosslyn,Evening,6.0
West Falls Church,Shady Grove,Evening,2.25
West Falls Church,Shaw-Howard University,Evening,4.0
West Falls Church,Silver Spring,Evening,5.0
West Falls Church,Smithsonian,Evening,1.5
West Falls Church,Southern Avenue,Evening,1.75
West Falls Church,Stadium-Armory,Evening,2.75
West Falls Church,Suitland,Evening,3.25
West Falls Church,Takoma,Evening,1.0
West Falls Church,Twinbrook,Evening,0.25
West Falls Church,U Street-Cardozo,Evening,1.75
West Falls Church,Union Station,Evening,4.25
West Falls Church,Van Dorn Street,Evening,2.0
West Falls Church,Van Ness-UDC,Evening,1.25
West Falls Church,Vienna,Evening,13.0
West Falls Church,Virginia Square-GMU,Evening,3.0
West Falls Church,Waterfront,Evening,0.5
West Falls Church,West Falls Church,Evening,5.0
West Falls Church,West Hyattsville,Evening,0.5
West Falls Church,Wheaton,Evening,0.5
West Falls Church,White Flint,Evening,0.25
West Falls Church,Woodley Park-Zoo,Evening,1.5
West Hyattsville,Addison Road,Evening,0.25
West Hyattsville,Anacostia,Evening,3.25
West Hyattsville,Archives-Navy Memorial,Evening,0.75
West Hyattsville,Ballston,Evening,0.25
West Hyattsville,Benning Road,Evening,0.5
West Hyattsville,Branch Avenue,Evening,1.0
West Hyattsville,Brookland,Evening,1.75
West Hyattsville,Capitol Heights,Evening,0.25
West Hyattsville,Cheverly,Evening,0.5
West Hyattsville,College Park-U of MD,Evening,2.0
West Hyattsville,Columbia Heights,Evening,25.25
West Hyattsville,Congress Heights,Evening,0.75
West Hyattsville,Crystal City,Evening,0.5
West Hyattsville,Deanwood,Evening,0.75
West Hyattsville,Dupont Circle,Evening,1.75
West Hyattsville,East Falls Church,Evening,0.25
West Hyattsville,Farragut North,Evening,1.0
West Hyattsville,Farragut West,Evening,0.25
West Hyattsville,Foggy Bottom,Evening,1.25
West Hyattsville,Forest Glen,Evening,1.25
West Hyattsville,Fort Totten,Evening,14.25
West Hyattsville,Franconia-Springfield,Evening,0.25
West Hyattsville,Friendship Heights,Evening,0.75
West Hyattsville,Gallery Place-Chinatown,Evening,4.25
West Hyattsville,Georgia Avenue-Petworth,Evening,18.5
West Hyattsville,Glenmont,Evening,1.25
West Hyattsville,Greenbelt,Evening,4.75
West Hyattsville,Grosvenor,Evening,0.5
West Hyattsville,Huntington,Evening,1.0
West Hyattsville,King Street,Evening,0.5
West Hyattsville,Landover,Evening,2.25
West Hyattsville,Largo Town Center,Evening,0.5
West Hyattsville,McPherson Square,Evening,0.75
West Hyattsville,Metro Center,Evening,0.75
West Hyattsville,Minnesota Avenue,Evening,1.25
West Hyattsville,Mt. Vernon Square-UDC,Evening,2.5
West Hyattsville,Navy Yard,Evening,0.25
West Hyattsville,Naylor Road,Evening,0.75
West Hyattsville,New Carrollton,Evening,1.0
West Hyattsville,New York Ave,Evening,0.75
West Hyattsville,Pentagon City,Evening,1.25
West Hyattsville,Potomac Avenue,Evening,0.5
West Hyattsville,Prince George's Plaza,Evening,11.25
West Hyattsville,Reagan Washington National Airport,Evening,1.75
West Hyattsville,Rhode Island Avenue,Evening,2.75
West Hyattsville,Rockville,Evening,0.5
West Hyattsville,Rosslyn,Evening,0.75
West Hyattsville,Shady Grove,Evening,0.75
West Hyattsville,Shaw-Howard University,Evening,3.0
West Hyattsville,Silver Spring,Evening,7.0
West Hyattsville,Southern Avenue,Evening,1.0
West Hyattsville,Stadium-Armory,Evening,0.5
West Hyattsville,Suitland,Evening,2.25
West Hyattsville,Takoma,Evening,0.5
West Hyattsville,Tenleytown-AU,Evening,0.25
West Hyattsville,U Street-Cardozo,Evening,4.5
West Hyattsville,Union Station,Evening,1.25
