ent_station,ext_station,riders_average_weekday_late_night
L'Enfant Plaza,Court House,1.0
L'Enfant Plaza,Crystal City,2.375
L'Enfant Plaza,Deanwood,0.25
L'Enfant Plaza,Dunn Loring,1.5
L'Enfant Plaza,Dupont Circle,0.875
L'Enfant Plaza,East Falls Church,0.875
L'Enfant Plaza,Eastern Market,2.625
L'Enfant Plaza,Eisenhower Avenue,1.0
L'Enfant Plaza,Farragut West,0.125
L'Enfant Plaza,Foggy Bottom,0.75
L'Enfant Plaza,Forest Glen,0.375
L'Enfant Plaza,Fort Totten,6.0
L'Enfant Plaza,Franconia-Springfield,2.5
L'Enfant Plaza,Friendship Heights,0.5
L'Enfant Plaza,Gallery Place-Chinatown,2.375
L'Enfant Plaza,Georgia Avenue-Petworth,3.625
L'Enfant Plaza,Glenmont,1.125
L'Enfant Plaza,Greenbelt,1.5
L'Enfant Plaza,Grosvenor,0.125
L'Enfant Plaza,Huntington,3.25
L'Enfant Plaza,King Street,2.0
L'Enfant Plaza,L'Enfant Plaza,3.0
L'Enfant Plaza,Landover,1.0
L'Enfant Plaza,Largo Town Center,0.875
L'Enfant Plaza,McPherson Square,1.125
L'Enfant Plaza,Medical Center,0.125
L'Enfant Plaza,Metro Center,0.125
L'Enfant Plaza,Minnesota Avenue,0.375
L'Enfant Plaza,Morgan Blvd.,0.875
L'Enfant Plaza,Mt. Vernon Square-UDC,2.375
L'Enfant Plaza,Navy Yard,1.0
L'Enfant Plaza,Naylor Road,1.125
L'Enfant Plaza,New Carrollton,1.875
L'Enfant Plaza,New York Ave,0.25
L'Enfant Plaza,Pentagon,1.0
L'Enfant Plaza,Pentagon City,4.25
L'Enfant Plaza,Potomac Avenue,1.5
L'Enfant Plaza,Prince George's Plaza,1.5
L'Enfant Plaza,Reagan Washington National Airport,0.375
L'Enfant Plaza,Rhode Island Avenue,1.0
L'Enfant Plaza,Rockville,0.25
L'Enfant Plaza,Rosslyn,0.875
L'Enfant Plaza,Shady Grove,1.0
L'Enfant Plaza,Shaw-Howard University,1.0
L'Enfant Plaza,Silver Spring,1.25
L'Enfant Plaza,Southern Avenue,2.0
L'Enfant Plaza,Stadium-Armory,1.0
L'Enfant Plaza,Suitland,1.125
L'Enfant Plaza,Takoma,0.25
L'Enfant Plaza,Tenleytown-AU,0.75
L'Enfant Plaza,Twinbrook,0.25
L'Enfant Plaza,U Street-Cardozo,3.5
L'Enfant Plaza,Union Station,0.25
L'Enfant Plaza,Van Dorn Street,1.625
L'Enfant Plaza,Van Ness-UDC,0.875
L'Enfant Plaza,Vienna,1.625
L'Enfant Plaza,Virginia Square-GMU,0.25
L'Enfant Plaza,Waterfront,0.375
L'Enfant Plaza,West Falls Church,0.875
L'Enfant Plaza,West Hyattsville,1.25
L'Enfant Plaza,Wheaton,0.875
L'Enfant Plaza,White Flint,0.25
L'Enfant Plaza,Woodley Park-Zoo,0.5
Landover,Anacostia,1.75
Landover,Benning Road,0.5
Landover,Branch Avenue,0.25
Landover,Brookland,0.125
Landover,Capitol Heights,0.625
Landover,Columbia Heights,0.125
Landover,Congress Heights,0.25
Landover,Deanwood,0.75
Landover,Eastern Market,0.125
Landover,Farragut West,1.0
Landover,Fort Totten,0.375
Landover,Franconia-Springfield,0.125
Landover,Gallery Place-Chinatown,0.125
Landover,Glenmont,0.25
Landover,L'Enfant Plaza,0.375
Landover,Landover,1.125
Landover,Largo Town Center,0.25
Landover,McPherson Square,0.125
Landover,Metro Center,0.125
Landover,Minnesota Avenue,2.375
Landover,Morgan Blvd.,0.125
Landover,Mt. Vernon Square-UDC,0.125
Landover,New Carrollton,2.25
Landover,Pentagon City,0.125
Landover,Potomac Avenue,0.375
Landover,Prince George's Plaza,0.25
Landover,Reagan Washington National Airport,0.375
Landover,Rhode Island Avenue,0.125
Landover,Shady Grove,0.125
Landover,Shaw-Howard University,0.125
Landover,Silver Spring,0.25
Landover,Southern Avenue,0.5
Landover,Stadium-Armory,0.125
Landover,Suitland,0.25
Landover,Union Station,0.125
Landover,Vienna,0.125
Landover,Virginia Square-GMU,0.25
Landover,West Hyattsville,0.125
Largo Town Center,Addison Road,8.0
Largo Town Center,Anacostia,3.5
Largo Town Center,Archives-Navy Memorial,0.25
Largo Town Center,Benning Road,6.0
Largo Town Center,Branch Avenue,1.75
Largo Town Center,Brookland,0.25
Largo Town Center,Capitol Heights,4.75
Largo Town Center,Capitol South,0.125
Largo Town Center,Cheverly,0.25
Largo Town Center,Clarendon,0.125
Largo Town Center,Columbia Heights,0.875
Largo Town Center,Congress Heights,2.0
Largo Town Center,Crystal City,0.125
Largo Town Center,Deanwood,1.25
Largo Town Center,Eastern Market,1.75
Largo Town Center,Farragut West,0.25
Largo Town Center,Fort Totten,1.0
Largo Town Center,Franconia-Springfield,0.125
Largo Town Center,Gallery Place-Chinatown,1.0
Largo Town Center,Georgia Avenue-Petworth,1.375
Largo Town Center,Glenmont,0.25
Largo Town Center,Greenbelt,1.625
Largo Town Center,L'Enfant Plaza,0.25
Largo Town Center,Landover,0.75
Largo Town Center,Largo Town Center,3.5
Largo Town Center,McPherson Square,0.125
Largo Town Center,Metro Center,1.25
Largo Town Center,Minnesota Avenue,1.0
Largo Town Center,Morgan Blvd.,1.625
Largo Town Center,Mt. Vernon Square-UDC,0.625
Largo Town Center,Naylor Road,1.875
Largo Town Center,New Carrollton,2.125
Largo Town Center,New York Ave,0.875
Largo Town Center,Pentagon City,0.5
Largo Town Center,Potomac Avenue,1.875
Largo Town Center,Prince George's Plaza,0.75
Largo Town Center,Reagan Washington National Airport,1.375
Largo Town Center,Rhode Island Avenue,1.0
Largo Town Center,Shaw-Howard University,0.5
Largo Town Center,Silver Spring,0.125
Largo Town Center,Southern Avenue,1.75
Largo Town Center,Stadium-Armory,2.0
Largo Town Center,Suitland,3.625
Largo Town Center,U Street-Cardozo,0.375
Largo Town Center,Union Station,1.0
Largo Town Center,Van Dorn Street,0.125
Largo Town Center,Van Ness-UDC,0.25
Largo Town Center,Vienna,0.125
Largo Town Center,West Hyattsville,0.625
Largo Town Center,Wheaton,0.125
McPherson Square,Addison Road,1.375
McPherson Square,Anacostia,1.75
McPherson Square,Ballston,27.0
McPherson Square,Benning Road,3.5
McPherson Square,Bethesda,2.125
McPherson Square,Braddock Road,3.0
McPherson Square,Branch Avenue,2.625
McPherson Square,Brookland,0.25
McPherson Square,Capitol Heights,1.625
McPherson Square,Capitol South,3.25
McPherson Square,Cheverly,1.5
McPherson Square,Clarendon,11.625
McPherson Square,Cleveland Park,0.625
McPherson Square,College Park-U of MD,0.75
McPherson Square,Columbia Heights,1.25
McPherson Square,Congress Heights,0.25
McPherson Square,Court House,24.875
McPherson Square,Crystal City,9.375
McPherson Square,Deanwood,1.5
McPherson Square,Dunn Loring,9.625
McPherson Square,Dupont Circle,1.5
McPherson Square,East Falls Church,13.25
McPherson Square,Eastern Market,7.25
McPherson Square,Farragut North,0.625
McPherson Square,Farragut West,0.5
McPherson Square,Federal Center SW,1.625
McPherson Square,Foggy Bottom,9.125
McPherson Square,Forest Glen,0.375
McPherson Square,Fort Totten,3.625
McPherson Square,Franconia-Springfield,7.5
McPherson Square,Friendship Heights,0.75
McPherson Square,Gallery Place-Chinatown,1.0
McPherson Square,Georgia Avenue-Petworth,1.625
McPherson Square,Glenmont,2.5
McPherson Square,Greenbelt,1.375
McPherson Square,Grosvenor,1.125
McPherson Square,Huntington,4.125
McPherson Square,Judiciary Square,0.25
McPherson Square,King Street,8.125
McPherson Square,L'Enfant Plaza,1.625
McPherson Square,Landover,0.625
McPherson Square,Largo Town Center,5.125
McPherson Square,McPherson Square,9.0
McPherson Square,Medical Center,0.25
McPherson Square,Metro Center,1.0
McPherson Square,Minnesota Avenue,1.75
McPherson Square,Morgan Blvd.,2.125
McPherson Square,Mt. Vernon Square-UDC,0.25
McPherson Square,Navy Yard,0.25
McPherson Square,Naylor Road,1.25
McPherson Square,New Carrollton,10.75
McPherson Square,New York Ave,1.0
McPherson Square,Pentagon,2.875
McPherson Square,Pentagon City,17.875
McPherson Square,Potomac Avenue,4.0
McPherson Square,Prince George's Plaza,1.25
McPherson Square,Reagan Washington National Airport,1.375
McPherson Square,Rhode Island Avenue,0.75
McPherson Square,Rockville,0.875
McPherson Square,Rosslyn,20.875
McPherson Square,Shady Grove,4.5
McPherson Square,Shaw-Howard University,1.125
McPherson Square,Silver Spring,4.25
McPherson Square,Smithsonian,0.375
McPherson Square,Southern Avenue,1.25
McPherson Square,Stadium-Armory,2.625
McPherson Square,Suitland,1.0
McPherson Square,Takoma,0.375
McPherson Square,Tenleytown-AU,0.25
McPherson Square,Twinbrook,0.625
McPherson Square,U Street-Cardozo,1.125
McPherson Square,Union Station,1.125
McPherson Square,Van Dorn Street,7.125
McPherson Square,Van Ness-UDC,1.0
McPherson Square,Vienna,20.75
McPherson Square,Virginia Square-GMU,8.125
McPherson Square,Waterfront,1.625
McPherson Square,West Falls Church,11.0
McPherson Square,West Hyattsville,0.75
McPherson Square,Wheaton,2.5
McPherson Square,White Flint,0.625
McPherson Square,Woodley Park-Zoo,1.25
Medical Center,Anacostia,0.25
Medical Center,Ballston,0.125
Medical Center,Bethesda,0.25
Medical Center,Brookland,0.125
Medical Center,Cleveland Park,0.125
Medical Center,Columbia Heights,0.125
Medical Center,Dupont Circle,0.5
Medical Center,Farragut North,0.25
Medical Center,Foggy Bottom,0.125
Medical Center,Fort Totten,0.75
Medical Center,Friendship Heights,1.625
Medical Center,Glenmont,0.125
Medical Center,Grosvenor,1.375
Medical Center,Largo Town Center,0.125
Medical Center,Medical Center,1.25
Medical Center,Navy Yard,0.125
Medical Center,Pentagon City,0.25
Medical Center,Rhode Island Avenue,0.25
Medical Center,Rockville,0.75
Medical Center,Shady Grove,2.5
Medical Center,Suitland,0.125
Medical Center,Tenleytown-AU,0.125
Medical Center,Twinbrook,2.375
Medical Center,Union Station,0.375
Medical Center,Van Ness-UDC,0.125
Medical Center,Vienna,0.125
Medical Center,Waterfront,0.125
Medical Center,White Flint,1.625
Medical Center,Woodley Park-Zoo,1.625
Metro Center,Addison Road,3.25
Metro Center,Anacostia,2.125
Metro Center,Ballston,37.625
Metro Center,Benning Road,2.5
Metro Center,Bethesda,17.5
Metro Center,Braddock Road,2.875
Metro Center,Branch Avenue,1.75
Metro Center,Brookland,4.875
Metro Center,Capitol Heights,4.375
Metro Center,Capitol South,2.625
Metro Center,Cheverly,2.125
Metro Center,Clarendon,18.375
Metro Center,Cleveland Park,5.375
Metro Center,College Park-U of MD,0.625
Metro Center,Columbia Heights,0.875
Metro Center,Congress Heights,0.25
Metro Center,Court House,33.375
Metro Center,Crystal City,5.75
Metro Center,Deanwood,2.5
Metro Center,Dunn Loring,17.5
Metro Center,Dupont Circle,15.5
Metro Center,East Falls Church,29.0
Metro Center,Eastern Market,12.5
Metro Center,Eisenhower Avenue,1.25
Metro Center,Farragut North,4.0
Metro Center,Farragut West,3.25
Metro Center,Federal Center SW,0.625
Metro Center,Federal Triangle,0.25
Metro Center,Foggy Bottom,19.5
Metro Center,Forest Glen,4.375
Metro Center,Fort Totten,14.375
Metro Center,Franconia-Springfield,13.75
Metro Center,Friendship Heights,7.5
Metro Center,Gallery Place-Chinatown,1.125
Metro Center,Georgia Avenue-Petworth,1.375
Metro Center,Glenmont,14.875
Metro Center,Greenbelt,2.25
Metro Center,Grosvenor,15.25
Metro Center,Huntington,4.25
Metro Center,Judiciary Square,0.5
Metro Center,King Street,3.625
Metro Center,L'Enfant Plaza,1.875
Metro Center,Landover,2.5
Metro Center,Largo Town Center,5.625
Metro Center,McPherson Square,0.625
Metro Center,Medical Center,1.5
Metro Center,Metro Center,16.125
Metro Center,Minnesota Avenue,2.125
Metro Center,Morgan Blvd.,3.875
Metro Center,Mt. Vernon Square-UDC,0.625
Metro Center,Navy Yard,1.25
Metro Center,Naylor Road,1.375
Metro Center,New Carrollton,13.25
Metro Center,New York Ave,3.875
Metro Center,Pentagon,2.25
Metro Center,Pentagon City,10.625
Metro Center,Potomac Avenue,6.0
Metro Center,Prince George's Plaza,4.125
Metro Center,Reagan Washington National Airport,0.375
Metro Center,Rhode Island Avenue,6.375
Metro Center,Rockville,5.875
Metro Center,Rosslyn,39.375
Metro Center,Shady Grove,15.125
Metro Center,Shaw-Howard University,1.875
Metro Center,Silver Spring,21.25
Metro Center,Smithsonian,0.75
Metro Center,Southern Avenue,0.875
Metro Center,Stadium-Armory,4.375
Metro Center,Suitland,2.0
Metro Center,Takoma,7.875
Metro Center,Tenleytown-AU,6.0
Metro Center,Twinbrook,7.375
Metro Center,U Street-Cardozo,2.75
Metro Center,Union Station,6.25
Metro Center,Van Dorn Street,5.25
Metro Center,Van Ness-UDC,10.625
Metro Center,Vienna,48.625
Metro Center,Virginia Square-GMU,17.5
Metro Center,Waterfront,0.75
Metro Center,West Falls Church,21.25
Metro Center,West Hyattsville,1.75
Metro Center,Wheaton,8.625
Metro Center,White Flint,7.5
Metro Center,Woodley Park-Zoo,12.625
Minnesota Avenue,Addison Road,1.5
Minnesota Avenue,Anacostia,2.875
Minnesota Avenue,Ballston,0.5
Minnesota Avenue,Benning Road,0.125
Minnesota Avenue,Brookland,0.875
Minnesota Avenue,Capitol South,0.125
Minnesota Avenue,Cheverly,1.125
Minnesota Avenue,Cleveland Park,0.125
Minnesota Avenue,Columbia Heights,2.0
Minnesota Avenue,Congress Heights,1.375
Minnesota Avenue,Deanwood,4.625
Minnesota Avenue,Eastern Market,0.375
Minnesota Avenue,Federal Center SW,0.125
Minnesota Avenue,Foggy Bottom,0.375
Minnesota Avenue,Fort Totten,2.0
Minnesota Avenue,Franconia-Springfield,0.125
Minnesota Avenue,Gallery Place-Chinatown,0.625
Minnesota Avenue,Georgia Avenue-Petworth,0.5
Minnesota Avenue,Glenmont,0.125
Minnesota Avenue,Greenbelt,0.125
Minnesota Avenue,King Street,0.125
Minnesota Avenue,Landover,7.875
Minnesota Avenue,Largo Town Center,0.375
Minnesota Avenue,McPherson Square,0.375
Minnesota Avenue,Metro Center,0.625
Minnesota Avenue,Minnesota Avenue,2.25
Minnesota Avenue,Morgan Blvd.,0.125
Minnesota Avenue,Naylor Road,0.875
Minnesota Avenue,New Carrollton,4.5
Minnesota Avenue,New York Ave,0.25
Minnesota Avenue,Potomac Avenue,1.125
Minnesota Avenue,Prince George's Plaza,0.25
Minnesota Avenue,Reagan Washington National Airport,0.25
Minnesota Avenue,Rhode Island Avenue,0.75
Minnesota Avenue,Rockville,0.25
Minnesota Avenue,Shady Grove,0.25
Minnesota Avenue,Silver Spring,0.25
Minnesota Avenue,Smithsonian,0.375
Minnesota Avenue,Southern Avenue,1.0
Minnesota Avenue,Stadium-Armory,1.25
Minnesota Avenue,Suitland,0.5
Minnesota Avenue,Takoma,0.125
Minnesota Avenue,U Street-Cardozo,0.75
Minnesota Avenue,Union Station,0.125
Minnesota Avenue,Van Dorn Street,0.125
Minnesota Avenue,Vienna,0.25
Minnesota Avenue,Waterfront,0.375
Minnesota Avenue,West Hyattsville,0.125
Minnesota Avenue,Wheaton,0.25
Minnesota Avenue,Woodley Park-Zoo,0.375
Morgan Blvd.,Addison Road,0.625
Morgan Blvd.,Anacostia,0.25
Morgan Blvd.,Ballston,0.125
Morgan Blvd.,Benning Road,0.625
Morgan Blvd.,Branch Avenue,0.125
Morgan Blvd.,College Park-U of MD,0.125
Morgan Blvd.,Columbia Heights,0.25
Morgan Blvd.,East Falls Church,0.125
Morgan Blvd.,Farragut West,0.125
Morgan Blvd.,Foggy Bottom,0.125
Morgan Blvd.,Fort Totten,0.125
Morgan Blvd.,Georgia Avenue-Petworth,0.125
Morgan Blvd.,Greenbelt,0.125
Morgan Blvd.,Largo Town Center,0.375
Morgan Blvd.,Minnesota Avenue,0.125
Morgan Blvd.,Morgan Blvd.,0.875
Morgan Blvd.,Mt. Vernon Square-UDC,0.125
Morgan Blvd.,Naylor Road,0.125
Morgan Blvd.,New Carrollton,0.25
Morgan Blvd.,Pentagon City,0.25
Morgan Blvd.,Potomac Avenue,0.125
Morgan Blvd.,Reagan Washington National Airport,0.5
Morgan Blvd.,Rosslyn,0.125
Morgan Blvd.,Shady Grove,0.125
Morgan Blvd.,Stadium-Armory,0.875
Morgan Blvd.,Suitland,0.125
Morgan Blvd.,Vienna,0.125
Morgan Blvd.,Woodley Park-Zoo,0.125
Mt. Vernon Square-UDC,Addison Road,0.375
Mt. Vernon Square-UDC,Anacostia,4.125
Mt. Vernon Square-UDC,Archives-Navy Memorial,0.25
Mt. Vernon Square-UDC,Ballston,1.125
Mt. Vernon Square-UDC,Benning Road,0.375
Mt. Vernon Square-UDC,Braddock Road,1.25
Mt. Vernon Square-UDC,Branch Avenue,2.25
Mt. Vernon Square-UDC,Brookland,0.125
Mt. Vernon Square-UDC,Capitol Heights,0.375
Mt. Vernon Square-UDC,Capitol South,0.25
Mt. Vernon Square-UDC,Clarendon,0.375
Mt. Vernon Square-UDC,College Park-U of MD,1.875
Mt. Vernon Square-UDC,Columbia Heights,23.5
Mt. Vernon Square-UDC,Congress Heights,1.375
Mt. Vernon Square-UDC,Court House,0.875
Mt. Vernon Square-UDC,Crystal City,5.25
Mt. Vernon Square-UDC,Deanwood,0.375
Mt. Vernon Square-UDC,Dunn Loring,0.375
Mt. Vernon Square-UDC,Dupont Circle,0.75
Mt. Vernon Square-UDC,East Falls Church,0.5
Mt. Vernon Square-UDC,Eastern Market,0.625
Mt. Vernon Square-UDC,Eisenhower Avenue,1.375
Mt. Vernon Square-UDC,Farragut North,0.25
Mt. Vernon Square-UDC,Foggy Bottom,2.0
Mt. Vernon Square-UDC,Forest Glen,0.25
Mt. Vernon Square-UDC,Fort Totten,14.625
Mt. Vernon Square-UDC,Franconia-Springfield,1.25
Mt. Vernon Square-UDC,Friendship Heights,0.25
Mt. Vernon Square-UDC,Gallery Place-Chinatown,1.375
Mt. Vernon Square-UDC,Georgia Avenue-Petworth,10.125
Mt. Vernon Square-UDC,Glenmont,0.125
Mt. Vernon Square-UDC,Greenbelt,1.75
Mt. Vernon Square-UDC,Grosvenor,0.375
Mt. Vernon Square-UDC,Huntington,2.625
Mt. Vernon Square-UDC,King Street,2.75
Mt. Vernon Square-UDC,L'Enfant Plaza,0.75
Mt. Vernon Square-UDC,Landover,0.25
Mt. Vernon Square-UDC,Largo Town Center,0.75
Mt. Vernon Square-UDC,Medical Center,0.125
Mt. Vernon Square-UDC,Metro Center,0.25
Mt. Vernon Square-UDC,Minnesota Avenue,1.125
Mt. Vernon Square-UDC,Morgan Blvd.,0.5
Mt. Vernon Square-UDC,Mt. Vernon Square-UDC,5.125
Mt. Vernon Square-UDC,Navy Yard,4.125
Mt. Vernon Square-UDC,Naylor Road,1.375
Mt. Vernon Square-UDC,New Carrollton,1.125
Mt. Vernon Square-UDC,New York Ave,0.625
Mt. Vernon Square-UDC,Pentagon,0.375
Mt. Vernon Square-UDC,Pentagon City,3.25
Mt. Vernon Square-UDC,Potomac Avenue,1.125
Mt. Vernon Square-UDC,Prince George's Plaza,3.375
Mt. Vernon Square-UDC,Reagan Washington National Airport,0.125
Mt. Vernon Square-UDC,Rhode Island Avenue,0.5
Mt. Vernon Square-UDC,Rosslyn,0.75
Mt. Vernon Square-UDC,Shaw-Howard University,2.75
Mt. Vernon Square-UDC,Silver Spring,1.75
Mt. Vernon Square-UDC,Southern Avenue,1.25
Mt. Vernon Square-UDC,Stadium-Armory,0.125
Mt. Vernon Square-UDC,Suitland,2.25
Mt. Vernon Square-UDC,Takoma,0.25
Mt. Vernon Square-UDC,Tenleytown-AU,0.75
Mt. Vernon Square-UDC,Twinbrook,0.75
Mt. Vernon Square-UDC,U Street-Cardozo,14.625
Mt. Vernon Square-UDC,Union Station,1.125
Mt. Vernon Square-UDC,Van Dorn Street,0.5
Mt. Vernon Square-UDC,Van Ness-UDC,0.25
Mt. Vernon Square-UDC,Vienna,0.375
Mt. Vernon Square-UDC,Virginia Square-GMU,0.25
Mt. Vernon Square-UDC,Waterfront,1.625
Mt. Vernon Square-UDC,West Falls Church,0.625
Mt. Vernon Square-UDC,West Hyattsville,3.625
Mt. Vernon Square-UDC,Wheaton,0.25
Mt. Vernon Square-UDC,White Flint,0.125
Mt. Vernon Square-UDC,Woodley Park-Zoo,0.875
Navy Yard,Addison Road,0.625
Navy Yard,Anacostia,11.0
Navy Yard,Archives-Navy Memorial,2.75
Navy Yard,Ballston,7.625
Navy Yard,Benning Road,1.125
Navy Yard,Bethesda,4.25
Navy Yard,Braddock Road,1.75
Navy Yard,Branch Avenue,2.75
Navy Yard,Brookland,0.375
Navy Yard,Capitol Heights,0.625
Navy Yard,Cheverly,0.375
Navy Yard,Clarendon,5.125
Navy Yard,Cleveland Park,2.625
Navy Yard,College Park-U of MD,2.375
Navy Yard,Columbia Heights,13.25
Navy Yard,Congress Heights,3.125
Navy Yard,Court House,5.5
Navy Yard,Crystal City,3.875
Navy Yard,Dunn Loring,0.375
Navy Yard,Dupont Circle,7.375
Navy Yard,East Falls Church,4.625
Navy Yard,Eastern Market,1.0
Navy Yard,Eisenhower Avenue,2.125
Navy Yard,Farragut North,0.5
Navy Yard,Farragut West,0.75
Navy Yard,Federal Center SW,0.375
Navy Yard,Foggy Bottom,5.25
Navy Yard,Forest Glen,1.375
Navy Yard,Fort Totten,7.375
Navy Yard,Franconia-Springfield,2.875
Navy Yard,Friendship Heights,2.375
Navy Yard,Gallery Place-Chinatown,26.875
Navy Yard,Georgia Avenue-Petworth,3.25
Navy Yard,Glenmont,1.5
Navy Yard,Greenbelt,1.875
Navy Yard,Grosvenor,3.875
Navy Yard,Huntington,1.875
Navy Yard,King Street,3.375
Navy Yard,L'Enfant Plaza,4.875
Navy Yard,Landover,0.125
Navy Yard,Largo Town Center,0.25
Navy Yard,McPherson Square,0.875
Navy Yard,Medical Center,0.375
Navy Yard,Metro Center,0.125
Navy Yard,Minnesota Avenue,1.375
Navy Yard,Morgan Blvd.,0.25
Navy Yard,Mt. Vernon Square-UDC,7.625
Navy Yard,Navy Yard,11.375
Navy Yard,Naylor Road,2.375
Navy Yard,New Carrollton,1.75
Navy Yard,New York Ave,1.875
Navy Yard,Pentagon,0.75
Navy Yard,Pentagon City,6.75
Navy Yard,Potomac Avenue,0.5
Navy Yard,Prince George's Plaza,1.0
Navy Yard,Reagan Washington National Airport,0.25
Navy Yard,Rhode Island Avenue,1.375
Navy Yard,Rockville,1.125
Navy Yard,Rosslyn,4.125
Navy Yard,Shady Grove,4.0
Navy Yard,Shaw-Howard University,2.5
Navy Yard,Silver Spring,5.25
Navy Yard,Southern Avenue,3.5
Navy Yard,Stadium-Armory,0.375
Navy Yard,Suitland,3.625
Navy Yard,Takoma,1.875
Navy Yard,Tenleytown-AU,2.375
Navy Yard,Twinbrook,0.625
Navy Yard,U Street-Cardozo,21.875
Navy Yard,Union Station,1.125
Navy Yard,Van Dorn Street,1.625
Navy Yard,Van Ness-UDC,1.875
Navy Yard,Vienna,4.75
Navy Yard,Virginia Square-GMU,1.75
Navy Yard,Waterfront,0.5
Navy Yard,West Falls Church,1.125
Navy Yard,West Hyattsville,0.875
Navy Yard,Wheaton,0.125
Navy Yard,White Flint,1.0
Navy Yard,Woodley Park-Zoo,2.75
Naylor Road,Addison Road,1.0
Naylor Road,Anacostia,6.25
Naylor Road,Archives-Navy Memorial,0.25
Naylor Road,Benning Road,1.0
Naylor Road,Branch Avenue,3.25
Naylor Road,Brookland,0.25
Naylor Road,Capitol Heights,1.25
Naylor Road,Cheverly,0.25
Naylor Road,Clarendon,0.125
Naylor Road,College Park-U of MD,0.25
Naylor Road,Columbia Heights,0.875
Naylor Road,Congress Heights,2.25
Naylor Road,Court House,0.125
Naylor Road,Deanwood,2.0
Naylor Road,Dupont Circle,0.25
Naylor Road,Farragut North,0.125
Naylor Road,Fort Totten,1.5
Naylor Road,Gallery Place-Chinatown,2.75
Naylor Road,Georgia Avenue-Petworth,0.875
Naylor Road,Glenmont,0.125
Naylor Road,Huntington,0.625
Naylor Road,King Street,0.5
Naylor Road,Landover,0.125
Naylor Road,Largo Town Center,0.625
Naylor Road,McPherson Square,0.125
Naylor Road,Minnesota Avenue,0.5
Naylor Road,Mt. Vernon Square-UDC,0.125
Naylor Road,Navy Yard,0.25
Naylor Road,Naylor Road,1.625
Naylor Road,New Carrollton,0.75
Naylor Road,New York Ave,0.5
Naylor Road,Pentagon City,0.875
Naylor Road,Potomac Avenue,0.125
Naylor Road,Prince George's Plaza,0.5
Naylor Road,Rhode Island Avenue,1.75
Naylor Road,Rockville,0.5
Naylor Road,Rosslyn,0.25
Naylor Road,Shady Grove,0.125
Naylor Road,Shaw-Howard University,0.625
Naylor Road,Silver Spring,0.375
Naylor Road,Southern Avenue,3.25
Naylor Road,Stadium-Armory,0.75
Naylor Road,Suitland,4.625
Naylor Road,Takoma,0.25
Naylor Road,Tenleytown-AU,0.125
Naylor Road,Twinbrook,0.125
Naylor Road,U Street-Cardozo,1.5
Naylor Road,Union Station,0.25
Naylor Road,Van Dorn Street,0.125
Naylor Road,Waterfront,1.5
Naylor Road,West Hyattsville,0.125
Naylor Road,Woodley Park-Zoo,0.625
New Carrollton,Addison Road,1.0
New Carrollton,Anacostia,1.125
New Carrollton,Ballston,0.25
New Carrollton,Benning Road,0.375
New Carrollton,Branch Avenue,0.5
New Carrollton,Brookland,0.375
New Carrollton,Capitol Heights,0.375
New Carrollton,Capitol South,0.125
New Carrollton,Cheverly,0.125
New Carrollton,Clarendon,0.125
New Carrollton,College Park-U of MD,0.125
New Carrollton,Columbia Heights,0.25
New Carrollton,Congress Heights,1.0
New Carrollton,Court House,0.25
New Carrollton,Crystal City,0.375
New Carrollton,Deanwood,1.375
New Carrollton,Dupont Circle,0.125
New Carrollton,East Falls Church,0.25
New Carrollton,Eastern Market,0.5
New Carrollton,Farragut West,0.125
New Carrollton,Federal Center SW,0.375
New Carrollton,Foggy Bottom,0.5
New Carrollton,Fort Totten,2.0
New Carrollton,Franconia-Springfield,0.125
New Carrollton,Gallery Place-Chinatown,1.5
New Carrollton,Georgia Avenue-Petworth,0.375
New Carrollton,Glenmont,0.125
New Carrollton,Greenbelt,0.25
New Carrollton,Huntington,0.5
New Carrollton,Judiciary Square,0.125
New Carrollton,King Street,0.125
New Carrollton,Landover,1.75
New Carrollton,Largo Town Center,0.375
New Carrollton,McPherson Square,0.5
New Carrollton,Metro Center,0.25
New Carrollton,Minnesota Avenue,2.25
New Carrollton,Morgan Blvd.,0.125
New Carrollton,Mt. Vernon Square-UDC,0.125
New Carrollton,Navy Yard,0.125
New Carrollton,Naylor Road,0.375
New Carrollton,New Carrollton,3.5
New Carrollton,New York Ave,0.125
New Carrollton,Pentagon City,0.5
New Carrollton,Potomac Avenue,1.0
New Carrollton,Prince George's Plaza,0.125
New Carrollton,Reagan Washington National Airport,0.125
New Carrollton,Rhode Island Avenue,0.5
New Carrollton,Rosslyn,0.125
New Carrollton,Shady Grove,0.25
New Carrollton,Shaw-Howard University,1.375
New Carrollton,Silver Spring,0.375
New Carrollton,Southern Avenue,0.25
New Carrollton,Stadium-Armory,0.875
New Carrollton,Suitland,1.0
New Carrollton,Takoma,0.125
New Carrollton,Tenleytown-AU,0.25
New Carrollton,Twinbrook,0.125
New Carrollton,U Street-Cardozo,1.25
New Carrollton,Union Station,0.125
New Carrollton,Van Dorn Street,0.5
New Carrollton,Vienna,0.25
New Carrollton,Virginia Square-GMU,0.125
New Carrollton,West Falls Church,0.125
New Carrollton,West Hyattsville,0.25
New Carrollton,Wheaton,0.625
New Carrollton,Woodley Park-Zoo,0.25
New York Ave,Addison Road,0.5
New York Ave,Anacostia,5.75
New York Ave,Ballston,1.375
New York Ave,Benning Road,1.875
