ent_station,ext_station,riders_average_weekday_late_night,trip_length
dupont circle,foggy bottom gwu,3.0,5
dupont circle,forest glen,13.125,12
dupont circle,fort totten,36.125,9
dupont circle,franconia springfield,12.125,14
dupont circle,friendship heights,50.625,5
dupont circle,gallery place,27.125,3
dupont circle,georgia avenue petworth,7.625,8
dupont circle,glenmont,24.625,14
dupont circle,greenbelt,9.0,13
dupont circle,grosvenor strathmore,88.625,8
dupont circle,huntington,15.625,14
dupont circle,judiciary square,5.75,4
dupont circle,king street old town,8.5,12
dupont circle,l'enfant plaza,4.25,5
dupont circle,landover,1.125,14
dupont circle,largo,2.0,15
dupont circle,mcpherson square,0.5,3
dupont circle,medical center,10.125,7
dupont circle,metro center,13.25,2
dupont circle,minnesota avenue,1.25,11
dupont circle,morgan boulevard,1.0,14
dupont circle,mount vernon square,2.125,4
dupont circle,navy yard ballpark,4.875,7
dupont circle,naylor road,1.875,11
dupont circle,new carrollton,9.25,15
dupont circle,noma gallaudet u,24.5,6
dupont circle,pentagon,2.375,6
dupont circle,pentagon city,19.0,7
dupont circle,potomac avenue,3.625,9
dupont circle,hyattsville crossing,3.625,11
dupont circle,rhode island avenue,11.5,7
dupont circle,rockville,40.5,11
dupont circle,rosslyn,13.875,6
dupont circle,shady grove,79.125,12
dupont circle,shaw howard university,2.875,5
dupont circle,silver spring,60.125,11
dupont circle,smithsonian,0.75,4
dupont circle,southern avenue,2.0,10
dupont circle,stadium armory,4.125,10
dupont circle,suitland,4.625,12
dupont circle,takoma,22.25,10
dupont circle,tenleytown au,56.25,4
dupont circle,twinbrook,37.5,10
dupont circle,u street,5.5,6
dupont circle,union station,43.125,5
dupont circle,van dorn street,8.125,13
dupont circle,van ness udc,52.875,3
dupont circle,vienna,18.75,14
dupont circle,virginia square gmu,4.625,9
dupont circle,waterfront,7.125,6
dupont circle,west falls church,9.0,12
dupont circle,west hyattsville,5.125,10
dupont circle,wheaton,14.875,13
dupont circle,north bethesda,31.875,9
dupont circle,woodley park,30.0,1
east falls church,ballston-mu,2.5,1
east falls church,braddock road,0.375,12
east falls church,branch avenue,0.125,16
east falls church,brookland cua,0.375,15
east falls church,capitol south,0.125,10
east falls church,cheverly,0.125,16
east falls church,clarendon,2.25,3
east falls church,cleveland park,0.25,13
east falls church,college park university of maryland,1.0,19
east falls church,columbia heights,0.375,14
east falls church,congress heights,0.125,12
east falls church,court house,2.0,4
east falls church,crystal city,0.875,9
east falls church,deanwood,0.375,15
east falls church,dunn loring,4.0,2
east falls church,dupont circle,0.25,11
east falls church,east falls church,2.75,0
east falls church,eisenhower avenue,0.25,14
east falls church,farragut west,1.5,7
east falls church,federal center sw,0.25,9
east falls church,federal triangle,0.125,10
east falls church,foggy bottom gwu,1.0,6
east falls church,fort totten,0.375,16
east falls church,franconia springfield,0.125,15
east falls church,friendship heights,0.25,16
east falls church,gallery place,0.375,10
east falls church,georgia avenue petworth,0.375,15
east falls church,grosvenor strathmore,0.125,19
east falls church,huntington,0.5,15
east falls church,mcpherson square,1.625,8
east falls church,metro center,1.75,9
east falls church,navy yard ballpark,0.125,10
east falls church,naylor road,0.125,14
east falls church,noma gallaudet u,0.25,13
east falls church,pentagon,0.125,7
east falls church,pentagon city,0.375,8
east falls church,potomac avenue,0.25,12
east falls church,hyattsville crossing,0.125,18
east falls church,national airport,0.25,10
east falls church,rosslyn,1.75,5
east falls church,shady grove,0.375,23
east falls church,shaw howard university,0.125,12
east falls church,silver spring,0.125,18
east falls church,stadium armory,0.375,13
east falls church,suitland,0.125,15
east falls church,takoma,0.375,17
east falls church,tenleytown au,0.125,15
east falls church,u street,0.25,13
east falls church,union station,1.0,12
east falls church,van dorn street,0.375,14
east falls church,van ness udc,0.125,14
east falls church,vienna,3.25,3
east falls church,virginia square gmu,0.375,2
east falls church,waterfront,0.25,9
east falls church,west falls church,1.375,1
east falls church,wheaton,0.25,20
east falls church,north bethesda,0.125,20
east falls church,woodley park,0.375,12
eastern market,addison road,5.625,5
eastern market,anacostia,0.625,6
eastern market,archives,0.25,4
eastern market,ballston-mu,6.375,10
eastern market,benning road,3.125,3
eastern market,bethesda,1.5,14
eastern market,braddock road,0.875,9
eastern market,branch avenue,1.0,11
eastern market,brookland cua,1.5,10
eastern market,capitol heights,1.625,4
eastern market,capitol south,0.75,1
eastern market,cheverly,1.125,5
eastern market,clarendon,2.5,8
eastern market,cleveland park,0.875,10
eastern market,college park university of maryland,0.875,14
eastern market,columbia heights,15.625,9
eastern market,congress heights,0.25,7
eastern market,court house,6.375,7
eastern market,crystal city,5.125,6
eastern market,deanwood,0.75,4
eastern market,dunn loring,1.5,13
eastern market,dupont circle,4.375,8
eastern market,east falls church,2.875,11
eastern market,eastern market,3.25,0
eastern market,eisenhower avenue,1.0,11
eastern market,farragut west,2.0,8
eastern market,federal center sw,1.0,2
eastern market,federal triangle,0.625,5
eastern market,foggy bottom gwu,7.625,7
eastern market,forest glen,0.25,14
eastern market,fort totten,4.25,11
eastern market,franconia springfield,2.0,12
eastern market,friendship heights,1.5,13
eastern market,gallery place,1.125,5
eastern market,georgia avenue petworth,3.0,10
eastern market,glenmont,1.5,16
eastern market,greenbelt,1.25,15
eastern market,grosvenor strathmore,0.75,16
eastern market,huntington,1.625,12
eastern market,judiciary square,0.125,6
eastern market,king street old town,1.5,10
eastern market,l'enfant plaza,3.125,3
eastern market,landover,3.25,6
eastern market,largo,2.375,7
eastern market,mcpherson square,4.5,7
eastern market,medical center,0.125,15
eastern market,metro center,9.75,6
eastern market,minnesota avenue,3.375,3
eastern market,morgan boulevard,0.5,6
eastern market,mount vernon square,1.875,6
eastern market,navy yard ballpark,0.125,5
eastern market,naylor road,0.25,9
eastern market,new carrollton,5.0,7
eastern market,noma gallaudet u,1.125,8
eastern market,pentagon,1.0,4
eastern market,pentagon city,3.375,5
eastern market,potomac avenue,2.0,1
eastern market,hyattsville crossing,1.0,13
eastern market,national airport,0.375,7
eastern market,rhode island avenue,1.375,9
eastern market,rockville,0.125,19
eastern market,rosslyn,7.0,6
eastern market,shady grove,2.25,20
eastern market,shaw howard university,1.375,7
eastern market,silver spring,4.0,13
eastern market,smithsonian,0.625,4
eastern market,southern avenue,0.125,8
eastern market,stadium armory,2.875,2
eastern market,suitland,0.875,10
eastern market,takoma,1.25,12
eastern market,tenleytown au,1.375,12
eastern market,twinbrook,1.5,18
eastern market,u street,1.625,8
eastern market,union station,0.125,7
eastern market,van dorn street,1.75,11
eastern market,van ness udc,2.0,11
eastern market,vienna,4.875,14
eastern market,virginia square gmu,2.375,9
eastern market,waterfront,0.375,4
eastern market,west falls church,1.75,12
eastern market,west hyattsville,1.25,12
eastern market,wheaton,0.5,15
eastern market,north bethesda,0.875,17
eastern market,woodley park,1.875,9
eisenhower avenue,addison road,2.0,16
eisenhower avenue,anacostia,2.875,11
eisenhower avenue,ballston-mu,0.25,13
eisenhower avenue,benning road,0.5,14
eisenhower avenue,braddock road,2.125,2
eisenhower avenue,branch avenue,1.25,16
eisenhower avenue,brookland cua,0.75,15
eisenhower avenue,capitol heights,1.0,15
eisenhower avenue,cheverly,0.125,16
eisenhower avenue,clarendon,0.25,11
eisenhower avenue,college park university of maryland,0.125,19
eisenhower avenue,columbia heights,1.5,14
eisenhower avenue,congress heights,0.5,12
eisenhower avenue,court house,0.25,10
eisenhower avenue,crystal city,1.875,5
eisenhower avenue,deanwood,0.125,15
eisenhower avenue,dupont circle,0.25,13
eisenhower avenue,eastern market,0.125,11
eisenhower avenue,eisenhower avenue,1.5,0
eisenhower avenue,fort totten,0.5,16
eisenhower avenue,franconia springfield,0.125,3
eisenhower avenue,friendship heights,0.125,18
eisenhower avenue,gallery place,1.0,10
eisenhower avenue,georgia avenue petworth,1.125,15
eisenhower avenue,glenmont,0.125,21
eisenhower avenue,huntington,14.5,1
eisenhower avenue,king street old town,3.25,1
eisenhower avenue,l'enfant plaza,0.125,8
eisenhower avenue,largo,0.25,18
eisenhower avenue,mcpherson square,0.375,12
eisenhower avenue,minnesota avenue,1.5,14
eisenhower avenue,mount vernon square,0.125,11
eisenhower avenue,naylor road,1.75,14
eisenhower avenue,new carrollton,0.625,18
eisenhower avenue,noma gallaudet u,0.125,13
eisenhower avenue,pentagon,0.5,7
eisenhower avenue,pentagon city,2.0,6
eisenhower avenue,national airport,0.5,4
eisenhower avenue,rhode island avenue,0.375,14
eisenhower avenue,rosslyn,0.375,9
eisenhower avenue,shaw howard university,0.875,12
eisenhower avenue,silver spring,0.125,18
eisenhower avenue,southern avenue,1.125,13
eisenhower avenue,stadium armory,0.125,13
eisenhower avenue,suitland,0.875,15
eisenhower avenue,u street,1.125,13
eisenhower avenue,union station,0.5,12
eisenhower avenue,van dorn street,1.5,2
eisenhower avenue,vienna,0.125,17
eisenhower avenue,waterfront,0.375,9
eisenhower avenue,west hyattsville,0.375,17
eisenhower avenue,wheaton,0.125,20
eisenhower avenue,woodley park,0.25,14
farragut north,addison road,0.625,12
farragut north,anacostia,2.75,7
farragut north,archives,0.25,3
farragut north,ballston-mu,6.375,9
farragut north,benning road,0.75,10
farragut north,bethesda,31.25,7
farragut north,braddock road,0.75,10
farragut north,branch avenue,1.875,12
farragut north,brookland cua,11.875,7
farragut north,capitol heights,0.375,11
farragut north,capitol south,1.0,6
farragut north,cheverly,0.25,12
farragut north,clarendon,1.875,7
farragut north,cleveland park,11.0,3
farragut north,college park university of maryland,4.875,11
farragut north,columbia heights,5.375,6
farragut north,congress heights,1.625,8
farragut north,court house,1.875,6
farragut north,crystal city,2.625,7
farragut north,deanwood,0.375,11
farragut north,dunn loring,1.75,12
farragut north,dupont circle,2.875,1
farragut north,east falls church,2.0,10
farragut north,eastern market,1.25,7
farragut north,eisenhower avenue,2.375,12
farragut north,farragut north,18.5,0
farragut north,federal triangle,0.125,2
farragut north,foggy bottom gwu,0.375,4
farragut north,forest glen,4.375,11
farragut north,fort totten,30.5,8
farragut north,franconia springfield,2.375,13
farragut north,friendship heights,18.0,6
farragut north,gallery place,12.25,2
farragut north,georgia avenue petworth,7.125,7
farragut north,glenmont,15.75,13
farragut north,greenbelt,3.875,12
farragut north,grosvenor strathmore,30.375,9
farragut north,huntington,4.5,13
farragut north,judiciary square,2.625,3
farragut north,king street old town,1.875,11
farragut north,l'enfant plaza,0.25,4
farragut north,landover,0.625,13
farragut north,largo,0.375,14
farragut north,mcpherson square,0.25,2
farragut north,medical center,2.875,8
farragut north,metro center,2.375,1
farragut north,minnesota avenue,0.5,10
farragut north,morgan boulevard,0.5,13
farragut north,mount vernon square,1.75,3
farragut north,navy yard ballpark,0.625,6
farragut north,naylor road,3.375,10
farragut north,new carrollton,2.375,14
farragut north,noma gallaudet u,12.75,5
farragut north,pentagon,0.625,5
farragut north,pentagon city,3.5,6
farragut north,potomac avenue,0.5,8
farragut north,hyattsville crossing,5.5,10
farragut north,national airport,0.25,8
farragut north,rhode island avenue,6.375,6
farragut north,rockville,14.75,12
farragut north,rosslyn,3.125,5
farragut north,shady grove,35.0,13
farragut north,shaw howard university,2.0,4
farragut north,silver spring,45.625,10
farragut north,southern avenue,2.75,9
farragut north,stadium armory,0.375,9
farragut north,suitland,1.875,11
farragut north,takoma,13.75,9
farragut north,tenleytown au,10.625,5
farragut north,twinbrook,13.625,11
farragut north,u street,3.625,5
farragut north,union station,18.25,4
farragut north,van dorn street,2.0,12
farragut north,van ness udc,14.25,4
farragut north,vienna,6.125,13
farragut north,virginia square gmu,0.125,8
farragut north,waterfront,1.625,5
farragut north,west falls church,2.0,11
farragut north,west hyattsville,6.375,9
farragut north,wheaton,11.375,12
farragut north,north bethesda,13.375,10
farragut north,woodley park,11.625,2
farragut west,addison road,2.25,13
farragut west,anacostia,1.375,8
farragut west,archives,0.125,4
farragut west,ballston-mu,52.0,6
farragut west,benning road,2.375,11
farragut west,bethesda,0.375,10
farragut west,braddock road,8.375,9
farragut west,branch avenue,0.875,13
farragut west,brookland cua,0.5,8
farragut west,capitol heights,1.375,12
farragut west,capitol south,5.375,7
farragut west,cheverly,0.5,13
farragut west,clarendon,22.5,4
farragut west,cleveland park,0.25,6
farragut west,college park university of maryland,1.25,12
farragut west,columbia heights,1.625,7
farragut west,congress heights,0.75,9
farragut west,court house,37.75,3
farragut west,crystal city,18.75,6
farragut west,deanwood,1.25,12
farragut west,dunn loring,23.25,9
farragut west,east falls church,31.5,7
farragut west,eastern market,11.375,8
farragut west,eisenhower avenue,0.125,11
farragut west,farragut west,12.375,0
farragut west,federal center sw,3.125,6
farragut west,federal triangle,0.125,3
farragut west,foggy bottom gwu,2.0,1
farragut west,forest glen,0.25,12
farragut west,fort totten,3.75,9
farragut west,franconia springfield,16.375,12
farragut west,friendship heights,0.125,9
farragut west,gallery place,1.25,3
farragut west,georgia avenue petworth,1.0,8
farragut west,glenmont,0.125,14
farragut west,greenbelt,0.75,13
farragut west,grosvenor strathmore,1.375,12
farragut west,huntington,8.75,12
farragut west,king street old town,10.25,10
farragut west,l'enfant plaza,2.75,5
farragut west,landover,2.375,14
farragut west,largo,4.25,15
farragut west,mcpherson square,0.5,1
farragut west,medical center,0.75,11
farragut west,metro center,2.125,2
farragut west,minnesota avenue,1.25,11
farragut west,morgan boulevard,0.75,14
farragut west,mount vernon square,0.25,4
farragut west,navy yard ballpark,0.625,7
farragut west,naylor road,0.75,11
farragut west,new carrollton,9.875,15
farragut west,noma gallaudet u,0.5,6
farragut west,pentagon,4.625,4
farragut west,pentagon city,25.0,5
farragut west,potomac avenue,8.375,9
farragut west,hyattsville crossing,1.25,11
farragut west,national airport,0.125,7
farragut west,rockville,0.625,15
farragut west,rosslyn,40.125,2
farragut west,shady grove,1.875,16
farragut west,shaw howard university,2.25,5
farragut west,silver spring,2.125,11
farragut west,smithsonian,0.25,4
farragut west,southern avenue,0.875,10
farragut west,stadium armory,3.25,10
farragut west,suitland,2.375,12
farragut west,takoma,0.5,10
farragut west,tenleytown au,0.25,8
farragut west,twinbrook,0.75,14
farragut west,u street,1.25,6
farragut west,union station,0.25,5
farragut west,van dorn street,11.375,11
farragut west,vienna,40.375,10
farragut west,virginia square gmu,18.375,5
farragut west,waterfront,1.375,6
farragut west,west falls church,20.875,8
farragut west,west hyattsville,0.375,10
farragut west,wheaton,0.625,13
farragut west,north bethesda,0.5,13
farragut west,woodley park,1.375,5
federal center sw,anacostia,0.375,4
federal center sw,ballston-mu,1.625,8
federal center sw,benning road,0.75,5
federal center sw,capitol heights,1.0,6
federal center sw,clarendon,0.625,6
federal center sw,cleveland park,0.125,8
federal center sw,columbia heights,0.125,7
federal center sw,court house,0.625,5
federal center sw,crystal city,0.25,4
federal center sw,dunn loring,0.5,11
federal center sw,dupont circle,0.125,6
federal center sw,east falls church,0.625,9
federal center sw,eastern market,0.5,2
federal center sw,farragut west,0.125,6
federal center sw,federal center sw,0.25,0
federal center sw,foggy bottom gwu,0.375,5
federal center sw,gallery place,0.125,3
federal center sw,glenmont,0.125,14
federal center sw,huntington,0.5,10
federal center sw,king street old town,0.25,8
federal center sw,landover,0.375,8
federal center sw,largo,0.5,9
federal center sw,mcpherson square,0.25,5
federal center sw,metro center,0.625,4
federal center sw,minnesota avenue,0.125,5
federal center sw,morgan boulevard,0.125,8
federal center sw,new carrollton,0.875,9
federal center sw,pentagon city,0.375,3
federal center sw,potomac avenue,0.75,3
federal center sw,hyattsville crossing,0.125,11
federal center sw,rockville,0.125,17
federal center sw,rosslyn,1.0,4
federal center sw,shady grove,0.125,18
federal center sw,silver spring,0.125,11
federal center sw,smithsonian,0.125,2
federal center sw,stadium armory,0.625,4
federal center sw,twinbrook,0.375,16
federal center sw,union station,0.375,5
federal center sw,van dorn street,0.125,9
federal center sw,vienna,0.75,12
federal center sw,virginia square gmu,0.375,7
federal center sw,west falls church,0.125,10
federal center sw,woodley park,0.125,7
federal triangle,addison road,0.75,10
federal triangle,anacostia,0.25,5
federal triangle,archives,0.125,3
federal triangle,ballston-mu,1.75,9
federal triangle,benning road,0.875,8
federal triangle,bethesda,0.625,9
federal triangle,braddock road,0.125,8
federal triangle,branch avenue,0.5,10
federal triangle,brookland cua,0.75,7
federal triangle,capitol heights,0.875,9
federal triangle,capitol south,0.125,4
federal triangle,cheverly,0.125,10
federal triangle,clarendon,1.25,7
federal triangle,college park university of maryland,2.0,11
federal triangle,columbia heights,0.375,6
federal triangle,court house,2.25,6
federal triangle,crystal city,0.875,5
federal triangle,deanwood,1.0,9
federal triangle,dunn loring,1.25,12
federal triangle,dupont circle,0.75,3
federal triangle,east falls church,0.75,10
federal triangle,eastern market,0.75,5
federal triangle,eisenhower avenue,0.375,10
federal triangle,farragut west,0.375,3
federal triangle,federal center sw,0.125,3
federal triangle,federal triangle,0.75,0
federal triangle,foggy bottom gwu,1.125,4
federal triangle,fort totten,0.875,8
federal triangle,franconia springfield,1.25,11
federal triangle,friendship heights,0.5,8
federal triangle,gallery place,0.25,2
federal triangle,georgia avenue petworth,0.25,7
federal triangle,glenmont,0.375,13
federal triangle,greenbelt,0.25,12
federal triangle,grosvenor strathmore,0.125,11
federal triangle,huntington,0.375,11
federal triangle,king street old town,0.625,9
federal triangle,l'enfant plaza,0.25,2
federal triangle,landover,1.625,11
federal triangle,largo,4.0,12
federal triangle,mcpherson square,0.5,2
federal triangle,metro center,0.5,1
federal triangle,minnesota avenue,1.125,8
federal triangle,morgan boulevard,0.875,11
federal triangle,mount vernon square,0.25,3
federal triangle,navy yard ballpark,0.5,4
federal triangle,naylor road,0.5,8
federal triangle,new carrollton,0.5,12
federal triangle,noma gallaudet u,0.5,5
federal triangle,pentagon,0.625,3
federal triangle,pentagon city,1.125,4
federal triangle,potomac avenue,0.75,6
federal triangle,hyattsville crossing,0.25,10
federal triangle,rhode island avenue,0.125,6
federal triangle,rosslyn,2.125,5
federal triangle,shady grove,0.5,15
federal triangle,shaw howard university,0.125,4
federal triangle,silver spring,0.125,10
federal triangle,southern avenue,1.0,7
federal triangle,stadium armory,0.625,7
federal triangle,suitland,0.75,9
federal triangle,takoma,0.25,9
federal triangle,tenleytown au,0.5,7
federal triangle,twinbrook,0.375,13
federal triangle,u street,0.125,5
federal triangle,van dorn street,1.0,10
federal triangle,vienna,2.25,13
federal triangle,virginia square gmu,0.5,8
federal triangle,west falls church,0.875,11
federal triangle,west hyattsville,0.625,9
federal triangle,wheaton,0.125,12
federal triangle,woodley park,0.875,4
foggy bottom gwu,addison road,0.5,12
foggy bottom gwu,anacostia,7.125,7
foggy bottom gwu,ballston-mu,33.25,5
foggy bottom gwu,benning road,6.875,10
foggy bottom gwu,bethesda,3.875,11
foggy bottom gwu,braddock road,6.375,8
foggy bottom gwu,branch avenue,3.125,12
foggy bottom gwu,brookland cua,5.5,9
foggy bottom gwu,capitol heights,1.125,11
foggy bottom gwu,capitol south,5.5,6
foggy bottom gwu,cheverly,2.75,12
foggy bottom gwu,clarendon,14.75,3
foggy bottom gwu,cleveland park,1.625,7
foggy bottom gwu,college park university of maryland,1.625,13
foggy bottom gwu,columbia heights,7.625,8
foggy bottom gwu,congress heights,1.375,8
foggy bottom gwu,court house,25.875,2
foggy bottom gwu,crystal city,26.0,5
foggy bottom gwu,deanwood,1.25,11
foggy bottom gwu,dunn loring,9.25,8
foggy bottom gwu,dupont circle,1.625,5
foggy bottom gwu,east falls church,17.625,6
foggy bottom gwu,eastern market,7.625,7
foggy bottom gwu,eisenhower avenue,1.25,10
foggy bottom gwu,farragut west,1.875,1
foggy bottom gwu,federal center sw,2.375,5
foggy bottom gwu,federal triangle,0.5,4
foggy bottom gwu,foggy bottom gwu,11.5,0
foggy bottom gwu,forest glen,0.75,13
foggy bottom gwu,fort totten,17.875,10
foggy bottom gwu,franconia springfield,16.625,11
foggy bottom gwu,friendship heights,3.25,10
foggy bottom gwu,gallery place,4.75,4
foggy bottom gwu,georgia avenue petworth,9.25,9
foggy bottom gwu,glenmont,7.75,15
foggy bottom gwu,greenbelt,1.75,14
foggy bottom gwu,grosvenor strathmore,3.5,13
foggy bottom gwu,huntington,7.75,11
foggy bottom gwu,king street old town,10.75,9
foggy bottom gwu,l'enfant plaza,2.875,4
foggy bottom gwu,landover,1.375,13
foggy bottom gwu,largo,2.625,14
foggy bottom gwu,mcpherson square,7.375,2
foggy bottom gwu,medical center,0.5,12
foggy bottom gwu,metro center,9.125,3
foggy bottom gwu,minnesota avenue,4.25,10
foggy bottom gwu,morgan boulevard,1.0,13
foggy bottom gwu,mount vernon square,1.5,5
foggy bottom gwu,navy yard ballpark,1.0,6
foggy bottom gwu,naylor road,1.625,10
foggy bottom gwu,new carrollton,7.75,14
foggy bottom gwu,noma gallaudet u,3.75,7
foggy bottom gwu,pentagon,5.875,3
foggy bottom gwu,pentagon city,34.375,4
foggy bottom gwu,potomac avenue,6.25,8
foggy bottom gwu,hyattsville crossing,2.25,12
foggy bottom gwu,national airport,0.875,6
foggy bottom gwu,rhode island avenue,2.125,8
foggy bottom gwu,rockville,0.875,16
foggy bottom gwu,rosslyn,25.75,1
foggy bottom gwu,shady grove,5.625,17
foggy bottom gwu,shaw howard university,2.75,6
foggy bottom gwu,silver spring,13.0,12
foggy bottom gwu,smithsonian,0.5,5
foggy bottom gwu,southern avenue,2.875,9
foggy bottom gwu,stadium armory,3.75,9
foggy bottom gwu,suitland,2.5,11
foggy bottom gwu,takoma,3.875,11
foggy bottom gwu,tenleytown au,5.375,9
foggy bottom gwu,twinbrook,1.75,15
foggy bottom gwu,u street,5.125,7
foggy bottom gwu,union station,5.5,6
foggy bottom gwu,van dorn street,5.875,10
foggy bottom gwu,van ness udc,2.875,8
foggy bottom gwu,vienna,28.375,9
foggy bottom gwu,virginia square gmu,10.5,4
foggy bottom gwu,waterfront,2.5,5
foggy bottom gwu,west falls church,8.0,7
foggy bottom gwu,west hyattsville,2.375,11
foggy bottom gwu,wheaton,3.75,14
foggy bottom gwu,north bethesda,1.625,14
foggy bottom gwu,woodley park,2.75,6
forest glen,archives,0.125,10
forest glen,ballston-mu,0.25,18
forest glen,brookland cua,0.625,4
forest glen,capitol heights,0.125,18
forest glen,clarendon,0.5,16
forest glen,college park university of maryland,0.25,6
forest glen,columbia heights,0.125,5
forest glen,dupont circle,0.75,12
forest glen,farragut north,0.25,11
forest glen,foggy bottom gwu,0.25,13
forest glen,forest glen,1.75,0
forest glen,fort totten,0.375,3
forest glen,friendship heights,0.375,17
forest glen,gallery place,0.625,9
forest glen,georgia avenue petworth,0.25,4
forest glen,glenmont,1.25,2
forest glen,greenbelt,0.25,7
forest glen,huntington,0.125,20
forest glen,metro center,0.375,10
forest glen,naylor road,0.125,17
forest glen,noma gallaudet u,0.25,6
forest glen,pentagon city,0.375,13
forest glen,rhode island avenue,0.125,5
forest glen,shady grove,0.125,24
forest glen,silver spring,1.0,1
forest glen,takoma,0.25,2
forest glen,union station,0.125,7
forest glen,west hyattsville,0.125,4
forest glen,wheaton,1.125,1
forest glen,woodley park,0.375,13
fort totten,addison road,1.25,16
fort totten,anacostia,6.75,11
fort totten,archives,0.125,7
fort totten,ballston-mu,0.375,15
fort totten,benning road,2.125,14
fort totten,bethesda,0.5,15
fort totten,braddock road,0.25,14
fort totten,branch avenue,1.5,16
fort totten,brookland cua,4.5,1
fort totten,capitol heights,1.375,15
fort totten,cheverly,0.25,16
fort totten,college park university of maryland,1.0,3
fort totten,columbia heights,13.625,2
fort totten,congress heights,2.0,12
fort totten,court house,0.125,12
fort totten,crystal city,0.25,11
fort totten,deanwood,0.875,15
fort totten,dunn loring,0.125,18
fort totten,dupont circle,2.125,9
fort totten,eastern market,0.375,11
fort totten,farragut north,2.125,8
fort totten,farragut west,0.25,9
fort totten,foggy bottom gwu,2.75,10
fort totten,forest glen,2.75,3
fort totten,fort totten,8.625,0
fort totten,franconia springfield,0.375,17
fort totten,gallery place,6.125,6
fort totten,georgia avenue petworth,6.125,1
fort totten,glenmont,4.375,5
fort totten,greenbelt,1.875,4
fort totten,grosvenor strathmore,0.25,17
fort totten,huntington,0.375,17
fort totten,l'enfant plaza,0.5,8
fort totten,landover,1.125,17
fort totten,largo,0.875,18
fort totten,mcpherson square,0.5,8
fort totten,medical center,0.125,16
fort totten,metro center,0.625,7
fort totten,minnesota avenue,1.25,14
fort totten,morgan boulevard,0.5,17
fort totten,mount vernon square,3.375,5
fort totten,navy yard ballpark,0.25,10
fort totten,naylor road,2.75,14
fort totten,new carrollton,0.875,18
fort totten,noma gallaudet u,5.0,3
fort totten,pentagon,0.125,9
fort totten,pentagon city,0.75,10
fort totten,potomac avenue,1.625,12
fort totten,hyattsville crossing,2.0,2
fort totten,national airport,0.375,12
fort totten,rhode island avenue,6.0,2
fort totten,rockville,0.375,20
fort totten,shady grove,1.875,21
fort totten,shaw howard university,10.5,4
fort totten,silver spring,9.0,2
fort totten,southern avenue,5.625,13
fort totten,stadium armory,0.625,13
fort totten,suitland,4.0,15
fort totten,takoma,3.125,1
fort totten,tenleytown au,0.75,13
fort totten,twinbrook,0.25,19
fort totten,u street,21.125,3
fort totten,union station,2.75,4
fort totten,van dorn street,0.125,16
fort totten,van ness udc,0.5,12
fort totten,vienna,0.125,19
fort totten,waterfront,2.0,9
fort totten,west falls church,0.125,17
fort totten,west hyattsville,5.125,1
fort totten,wheaton,3.25,4
fort totten,woodley park,1.875,10
franconia springfield,addison road,0.625,17
franconia springfield,anacostia,0.375,12
franconia springfield,ballston-mu,0.125,14
franconia springfield,benning road,0.375,15
franconia springfield,braddock road,0.125,3
franconia springfield,branch avenue,0.5,17
franconia springfield,capitol south,0.125,11
franconia springfield,cleveland park,0.125,16
franconia springfield,court house,0.625,11
franconia springfield,crystal city,0.625,6
franconia springfield,dupont circle,0.25,14
franconia springfield,east falls church,0.375,15
franconia springfield,eastern market,0.375,12
franconia springfield,farragut west,0.75,12
franconia springfield,federal triangle,0.125,11
franconia springfield,foggy bottom gwu,0.875,11
franconia springfield,fort totten,0.75,17
franconia springfield,franconia springfield,4.5,0
franconia springfield,friendship heights,0.125,19
franconia springfield,gallery place,1.25,11
franconia springfield,glenmont,0.375,22
franconia springfield,huntington,1.5,4
franconia springfield,king street old town,1.125,2
franconia springfield,l'enfant plaza,0.125,9
franconia springfield,landover,1.375,18
franconia springfield,largo,0.375,19
franconia springfield,mcpherson square,1.0,13
franconia springfield,metro center,1.625,12
franconia springfield,minnesota avenue,0.5,15
franconia springfield,mount vernon square,0.125,12
franconia springfield,navy yard ballpark,0.125,11
franconia springfield,naylor road,0.375,15
franconia springfield,new carrollton,0.125,19
franconia springfield,noma gallaudet u,0.5,14
franconia springfield,pentagon,0.375,8
franconia springfield,pentagon city,1.125,7
franconia springfield,potomac avenue,0.125,13
franconia springfield,national airport,1.125,5
franconia springfield,rhode island avenue,0.125,15
franconia springfield,rockville,0.375,25
franconia springfield,rosslyn,1.25,10
franconia springfield,shady grove,0.75,26
franconia springfield,shaw howard university,0.125,13
franconia springfield,silver spring,0.625,19
franconia springfield,stadium armory,0.375,14
franconia springfield,suitland,0.125,16
franconia springfield,takoma,0.125,18
franconia springfield,tenleytown au,0.125,18
franconia springfield,u street,0.375,14
franconia springfield,union station,0.25,13
franconia springfield,van dorn street,0.5,1
franconia springfield,vienna,0.375,18
franconia springfield,virginia square gmu,0.125,13
franconia springfield,west hyattsville,0.125,18
franconia springfield,north bethesda,0.125,23
friendship heights,addison road,1.0,18
friendship heights,anacostia,1.75,13
friendship heights,ballston-mu,0.75,15
friendship heights,benning road,0.25,16
friendship heights,bethesda,13.875,1
friendship heights,braddock road,0.375,16
friendship heights,branch avenue,0.5,18
friendship heights,brookland cua,2.625,13
friendship heights,capitol heights,0.25,17
friendship heights,capitol south,0.375,12
friendship heights,clarendon,0.125,13
friendship heights,cleveland park,2.5,3
friendship heights,college park university of maryland,0.5,17
